v8-version,6,2,414,54,0
code-creation,Stub,3,245000,0x258686a0500,2159,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a0de0,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a1680,2092,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a1f20,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,245000,0x258686a2100,612,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686a23e0,2134,"RecordWriteStub"
code-creation,Handler,4,245000,0x258686a2ca0,180,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686a2dc0,2096,"RecordWriteStub"
code-creation,Handler,4,245000,0x258686a3660,164,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686a3780,3146,"SubStringStub"
code-creation,Stub,3,245000,0x258686a4440,275,"CEntryStub"
code-creation,Stub,3,245000,0x258686a45c0,2126,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a4e80,2099,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a5720,2130,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a5fe0,886,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a63c0,2092,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a6c60,2092,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a7500,2126,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a7dc0,2122,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a8680,2121,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a8f40,463,"StringAddStub"
code-creation,Builtin,5,245000,0x258686a9180,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,245000,0x258686a92a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,245000,0x258686a9380,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,245000,0x258686a9500,2137,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686a9dc0,2138,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686aa680,2108,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686aaf20,2125,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686ab7e0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686ab940,2126,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686ac200,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686ac3e0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686acc80,2138,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686ad540,491,"StringAddStub"
code-creation,Stub,3,245000,0x258686ad7a0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686ae040,2133,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686ae900,2092,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686af1a0,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,245000,0x258686af2e0,636,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686af5c0,2122,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686afe80,2117,"RecordWriteStub"
code-creation,Handler,4,245000,0x258686b0740,552,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686b09e0,2133,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b12a0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b1b40,2137,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b2400,1245,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b2940,290,"CEntryStub"
code-creation,Stub,3,245000,0x258686b2ae0,2108,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b3380,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686b34c0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,245000,0x258686b36a0,636,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686b3980,2087,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b4220,2138,"RecordWriteStub"
code-creation,Handler,4,245000,0x258686b4ae0,132,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686b4be0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b5480,882,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b5860,330,"CallApiGetterStub"
code-creation,Stub,3,245000,0x258686b5a20,263,"MathPowStub"
code-creation,Stub,3,245000,0x258686b5ba0,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686b5d40,2099,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b65e0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686b6720,2142,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b6fe0,2134,"RecordWriteStub"
